Date,WTI,RBOB,HO
2019-05-30,56.59000015258789,78.90120005607605,80.42999839782715
2019-05-31,53.5,75.68400192260742,77.35559892654419
2019-06-03,53.25,73.13459944725037,75.87299823760986
2019-06-04,53.47999954223633,72.41640043258667,76.50299763679504
2019-06-05,51.68000030517578,71.09760189056396,74.75999879837036
2019-06-06,52.59000015258789,71.71919989585876,75.1086015701294
2019-06-07,53.9900016784668,73.03379774093628,76.64160060882568
2019-06-10,53.2599983215332,72.67259788513184,75.86460185050964
2019-06-11,53.27000045776367,73.76459884643555,76.52820181846619
2019-06-12,51.13999938964844,70.81620025634766,74.75579810142517
2019-06-13,52.279998779296875,72.23580050468445,75.87719893455505
2019-06-14,52.5099983215332,72.76499819755554,76.83479762077332
2019-06-17,51.93000030517578,71.01359796524048,75.57899951934814
2019-06-18,53.900001525878906,72.29880094528198,76.76760149002075
2019-06-19,53.7599983215332,72.89099907875061,76.83479762077332
2019-06-20,56.650001525878906,75.02459764480591,79.14059972763062
2019-06-21,57.43000030517578,77.9561984539032,80.46359896659851
2019-06-24,57.900001525878906,77.90580010414124,80.17380094528198
2019-06-25,57.83000183105469,78.8424003124237,80.78280186653137
2019-06-26,59.380001068115234,82.75679898262024,82.79460024833679
2019-06-27,59.43000030517578,81.75719833374023,82.00499939918518
2019-06-28,58.470001220703125,81.5849997997284,81.67319941520691
2019-07-01,59.09000015258789,81.08100128173828,82.05959844589233
2019-07-02,56.25,78.55260229110718,79.22459864616394
2019-07-03,57.34000015258789,80.50140023231506,79.74539995193481
2019-07-05,57.5099983215332,81.03899931907654,80.00999879837036
2019-07-08,57.65999984741211,79.85459804534912,79.60260128974915
2019-07-09,57.83000183105469,80.92980122566223,80.24519777297974
2019-07-10,60.43000030517578,84.21839618682861,83.62200236320496
2019-07-11,60.20000076293945,83.55900192260742,83.10120105743408
2019-07-12,60.209999084472656,83.03399991989136,83.16420149803162
2019-07-15,59.58000183105469,81.0725998878479,81.96719813346863
2019-07-16,57.619998931884766,79.45560193061829,80.00579810142517
2019-07-17,56.779998779296875,78.90540075302124,79.48920249938965
2019-07-18,55.29999923706055,77.03640103340149,78.22499799728394
2019-07-19,55.630001068115234,77.30099987983704,79.36320161819458
2019-07-22,56.220001220703125,76.77180218696594,79.77900052070618
2019-07-23,56.77000045776367,78.14099907875061,80.71140003204346
2019-07-24,55.880001068115234,77.91420149803162,80.1653995513916
2019-07-25,56.02000045776367,78.97260189056396,80.40059852600098
2019-07-26,56.20000076293945,78.72480082511902,79.98479962348938
2019-07-29,56.869998931884766,78.26279926300049,80.24519777297974
2019-07-30,58.04999923706055,79.66980242729187,81.64800024032593
2019-07-31,58.58000183105469,79.8839979171753,82.11000180244446
2019-08-01,53.95000076293945,73.49579930305481,77.82180118560791
2019-08-02,55.65999984741211,74.8229992389679,79.38840079307556
2019-08-05,54.689998626708984,72.15600228309631,77.09520077705383
2019-08-06,53.630001068115234,70.86659860610962,76.60800004005432
2019-08-07,51.09000015258789,68.05260229110718,73.63440227508545
2019-08-08,52.540000915527344,69.11939907073975,74.61720013618469
2019-08-09,54.5,70.30800104141235,75.9359986782074
2019-08-12,54.93000030517578,69.93839979171753,75.84359836578369
2019-08-13,57.099998474121094,72.92880034446716,78.8466010093689
2019-08-14,55.22999954223633,70.3835985660553,77.43540215492249
2019-08-15,54.470001220703125,68.72879934310913,76.04940247535706
2019-08-16,54.869998931884766,69.58560132980347,76.13760209083557
2019-08-19,56.209999084472656,69.90479922294617,76.99019837379456
2019-08-20,56.34000015258789,70.60620045661926,77.88060092926025
2019-08-21,55.68000030517578,71.13959884643555,78.00660181045532
2019-08-22,55.349998474121094,70.03500080108643,77.3346004486084
2019-08-23,54.16999816894531,68.99759888648987,76.25520157814026
2019-08-26,53.63999938964844,67.89300084114075,75.28080010414124
2019-08-27,54.93000030517578,69.29579830169678,76.26779866218567
2019-08-28,55.779998779296875,70.66079950332642,77.74199795722961
2019-08-29,56.709999084472656,70.75740051269531,78.28799843788147
2019-08-30,55.099998474121094,67.76279926300049,76.78439927101135
2019-09-03,53.939998626708984,61.76099967956543,75.73860096931458
2019-09-04,56.2599983215332,64.38179898262024,78.96840119361877
2019-09-05,56.29999923706055,64.93200016021729,79.31699895858765
2019-09-06,56.52000045776367,66.1164014339447,79.81260108947754
2019-09-09,57.849998474121094,66.55319881439209,80.9634017944336
2019-09-10,57.400001525878906,66.81360197067261,81.11040115356445
2019-09-11,55.75,65.93580150604248,79.93440127372742
2019-09-12,55.09000015258789,65.225998878479,79.17420029640198
2019-09-13,54.849998474121094,65.2301995754242,78.86759948730469
2019-09-16,62.900001525878906,73.60080170631409,87.51960325241089
2019-09-17,59.34000015258789,70.35419869422913,83.56319761276245
2019-09-18,58.11000061035156,69.62339758872986,82.87859916687012
2019-09-19,58.130001068115234,71.42940187454224,84.2057991027832
2019-09-20,58.09000015258789,70.49280166625977,83.42459964752197
2019-09-23,58.63999938964844,70.71959924697876,83.87399911880493
2019-09-24,57.290000915527344,69.48059892654419,82.63919949531555
2019-09-25,56.4900016784668,68.25840139389038,82.06379914283752
2019-09-26,56.40999984741211,69.77040195465088,82.11420249938965
2019-09-27,55.90999984741211,69.35879874229431,81.54719853401184
2019-09-30,54.06999969482422,67.40580010414124,80.03519797325134
2019-10-01,53.619998931884766,66.09539794921875,79.73699855804443
2019-10-02,52.63999938964844,64.9110016822815,78.66600108146667
2019-10-03,52.45000076293945,65.34779906272888,78.79200196266174
2019-10-04,52.810001373291016,66.08280086517334,79.56900072097778
2019-10-07,52.75,65.91479802131653,79.93860197067261
2019-10-08,52.630001068115234,66.39779806137085,80.22419929504395
2019-10-09,52.59000015258789,66.65820121765137,80.61059832572937
2019-10-10,53.54999923706055,68.17859816551208,80.6735987663269
2019-10-11,54.70000076293945,68.82960104942322,82.21919989585876
2019-10-14,53.59000015258789,67.75439786911011,80.43419909477234
2019-10-15,52.810001373291016,67.80480122566223,80.21999859809875
2019-10-16,53.36000061035156,68.24159860610962,81.58920049667358
2019-10-17,53.93000030517578,68.14499759674072,81.82019877433777
2019-10-18,53.779998779296875,68.16600108146667,81.77820181846619
2019-10-21,53.310001373291016,67.50240111351013,81.50520157814026
2019-10-22,54.15999984741211,67.57379794120789,81.63539814949036
2019-10-23,55.970001220703125,69.37980222702026,82.50060153007507
2019-10-24,56.22999954223633,69.8544008731842,83.42459964752197
2019-10-25,56.65999984741211,70.26599907875061,83.14319801330566
2019-10-28,55.810001373291016,70.25759768486023,82.3955991268158
2019-10-29,55.540000915527344,70.79940247535706,82.16460084915161
2019-10-30,55.060001373291016,69.90899991989136,80.3711986541748
2019-10-31,54.18000030517578,68.51039814949036,78.87600088119507
2019-11-01,56.20000076293945,69.53939867019653,81.19019937515259
2019-11-04,56.540000915527344,69.87539935112,81.50100088119507
2019-11-05,57.22999954223633,70.33320021629333,82.17719793319702
2019-11-06,56.349998474121094,68.30039834976196,80.96760249137878
2019-11-07,57.150001525878906,68.69099807739258,80.65260028839111
2019-11-08,57.2400016784668,68.61540055274963,80.56019997596741
2019-11-11,56.86000061035156,67.61579990386963,80.39639782905579
2019-11-12,56.79999923706055,67.80480122566223,79.69920229911804
2019-11-13,57.119998931884766,68.73300004005432,80.32500100135803
2019-11-14,56.77000045776367,67.86360096931458,80.55179858207703
2019-11-15,57.720001220703125,68.66999959945679,81.81599807739258
2019-11-18,57.04999923706055,68.08200216293335,79.99740171432495
2019-11-19,55.209999084472656,67.35540175437927,78.01079750061035
2019-11-20,57.11000061035156,69.56459784507751,79.4681990146637
2019-11-21,58.58000183105469,71.58479762077332,81.6774001121521
2019-11-22,57.77000045776367,70.32059812545776,81.03479862213135
2019-11-25,58.0099983215332,70.34160161018372,81.6606023311615
2019-11-26,58.40999984741211,71.59739971160889,82.34520077705383
2019-11-27,58.11000061035156,70.52640223503113,81.75299763679504
2019-11-29,55.16999816894531,67.07400012016296,78.91380214691162
2019-12-02,55.959999084472656,66.07860016822815,79.21200156211853
2019-12-03,56.099998474121094,65.6417977809906,78.9557991027832
2019-12-04,58.43000030517578,67.37640023231506,80.76179838180542
2019-12-05,58.43000030517578,68.08619785308838,81.1859986782074
2019-12-06,59.20000076293945,69.19080090522766,81.98820161819458
2019-12-09,59.02000045776367,69.50160241127014,81.65640163421631
2019-12-10,59.2400016784668,69.40500140190125,82.55099987983704
