date,nav,daily_pnl,position,pos_size_bbl,roll_cost,action,crack,z_score
2023-08-09,1484478.29,0.0,0,0,0.0,hold,42.4932,1.5316
2023-08-10,1484478.29,0.0,0,0,0.0,hold,42.6578,1.472
2023-08-11,1484478.29,0.0,0,0,0.0,hold,43.5282,1.5838
2023-08-14,1484478.29,0.0,0,0,0.0,hold,42.0998,1.1759
2023-08-15,1484478.29,0.0,0,0,0.0,hold,41.1348,0.8931
2023-08-16,1484478.29,0.0,0,0,0.0,hold,43.1914,1.3752
2023-08-17,1484478.29,0.0,0,0,0.0,hold,41.9308,0.9918
2023-08-18,1484478.29,0.0,0,0,0.0,hold,42.0354,0.9807
2023-08-21,1484478.29,0.0,0,0,0.0,hold,40.5396,0.5584
2023-08-22,1484478.29,0.0,0,0,0.0,hold,41.688,0.8737
2023-08-23,1484478.29,0.0,0,0,0.0,hold,42.4438,1.0777
2023-08-24,1484478.29,0.0,0,0,0.0,hold,42.9796,1.2375
2023-08-25,1484478.29,0.0,0,0,0.0,hold,47.0142,2.4643
2023-08-28,1484058.29,0.0,-1,8000,0.0,enter,43.0314,1.1381
2023-08-29,1493053.56,8995.27,-1,8000,0.0,hold,41.907,0.7111
2023-08-30,1505314.29,12260.73,-1,8000,0.0,hold,40.3744,0.0525
2023-08-31,1525284.68,20390.38,0,0,0.0,exit,37.8256,-1.098
2023-09-01,1525284.68,0.0,0,0,0.0,hold,30.4736,-3.4003
2023-09-05,1524969.68,0.0,1,6000,0.0,enter,30.6524,-2.7046
2023-09-06,1521037.25,-3932.43,1,6000,0.0,hold,29.997,-2.5147
2023-09-07,1530332.45,9295.2,1,6000,0.0,hold,31.5462,-1.864
2023-09-08,1538941.28,8608.83,1,6000,0.0,hold,32.981,-1.3654
2023-09-11,1556481.66,17540.39,1,6000,0.0,hold,35.9044,-0.534
2023-09-12,1545879.7,-10601.96,1,6000,0.0,hold,34.1374,-0.9052
2023-09-13,1558560.1,12680.39,1,6000,0.0,hold,36.2508,-0.3415
2023-09-14,1552999.87,-5245.23,0,0,0.0,exit,35.3766,-0.5203
2023-09-15,1552999.87,0.0,0,0,0.0,hold,32.4244,-1.1742
2023-09-18,1552999.87,0.0,0,0,0.0,hold,30.0974,-1.5753
2023-09-19,1552999.87,0.0,0,0,0.0,hold,30.4614,-1.3837
2023-09-20,1552999.87,0.0,0,0,0.0,hold,29.6328,-1.4413
2023-09-21,1552999.87,0.0,0,0,0.0,hold,30.8792,-1.0807
2023-09-22,1552999.87,0.0,0,0,0.0,hold,27.9872,-1.5448
2023-09-25,1552999.87,0.0,0,0,0.0,hold,27.22,-1.528
2023-09-26,1552999.87,0.0,0,0,0.0,hold,26.4848,-1.529
2023-09-27,1552999.87,0.0,0,0,0.0,hold,25.4866,-1.569
2023-09-28,1552999.87,0.0,0,0,0.0,hold,24.8904,-1.542
2023-09-29,1552999.87,0.0,0,0,0.0,hold,24.598,-1.4642
2023-10-02,1552999.87,0.0,0,0,0.0,hold,23.8366,-1.4477
2023-10-03,1552999.87,0.0,0,0,0.0,hold,21.5884,-1.6782
2023-10-04,1552999.87,0.0,0,0,0.0,hold,19.5732,-1.8342
2023-10-05,1552999.87,0.0,0,0,0.0,hold,19.1438,-1.7464
2023-10-06,1552999.87,0.0,0,0,0.0,hold,19.2028,-1.6123
2023-10-09,1552999.87,0.0,0,0,0.0,hold,17.8192,-1.7523
2023-10-10,1552999.87,0.0,0,0,0.0,hold,19.5466,-1.3871
2023-10-11,1552999.87,0.0,0,0,0.0,hold,20.3718,-1.1805
2023-10-12,1552999.87,0.0,0,0,0.0,hold,20.3386,-1.1247
2023-10-13,1552999.87,0.0,0,0,0.0,hold,20.7022,-0.9831
2023-10-16,1552999.87,0.0,0,0,0.0,hold,21.0728,-0.8154
2023-10-17,1552999.87,0.0,0,0,0.0,hold,21.7798,-0.6183
2023-10-18,1552999.87,0.0,0,0,0.0,hold,21.5282,-0.6172
2023-10-19,1552999.87,0.0,0,0,0.0,hold,21.1796,-0.6277
2023-10-20,1552999.87,0.0,0,0,0.0,hold,21.9032,-0.423
2023-10-23,1552999.87,0.0,0,0,0.0,hold,23.045,-0.0854
2023-10-24,1552999.87,0.0,0,0,0.0,hold,22.3814,-0.1621
2023-10-25,1552999.87,0.0,0,0,0.0,hold,20.9946,-0.4177
2023-10-26,1552999.87,0.0,0,0,0.0,hold,22.5754,0.1037
2023-10-27,1552999.87,0.0,0,0,0.0,hold,21.9366,0.0076
2023-10-30,1552999.87,0.0,0,0,0.0,hold,21.3782,-0.0552
2023-10-31,1552999.87,0.0,0,0,0.0,hold,23.0896,0.6399
2023-11-01,1552999.87,0.0,0,0,0.0,hold,22.215,0.4253
2023-11-02,1552999.87,0.0,0,0,0.0,hold,22.785,0.8458
